Datetime,DE_LU
"2022-06-09 00:00:00",189.01
"2022-06-09 01:00:00",170.63
"2022-06-09 02:00:00",165
"2022-06-09 03:00:00",164.81
"2022-06-09 04:00:00",164.85
"2022-06-09 05:00:00",174.54
"2022-06-09 06:00:00",205.75
"2022-06-09 07:00:00",215.06
"2022-06-09 08:00:00",221.92
"2022-06-09 09:00:00",214.21
"2022-06-09 10:00:00",205.13
"2022-06-09 11:00:00",189.43
"2022-06-09 12:00:00",183.18
"2022-06-09 13:00:00",169.63
"2022-06-09 14:00:00",161.16
"2022-06-09 15:00:00",154.04
"2022-06-09 16:00:00",153.31
"2022-06-09 17:00:00",166.76
"2022-06-09 18:00:00",177.73
"2022-06-09 19:00:00",191.97
"2022-06-09 20:00:00",202.28
"2022-06-09 21:00:00",210.24
"2022-06-09 22:00:00",209.09
"2022-06-09 23:00:00",192.07
"2022-06-10 00:00:00",196.58
"2022-06-10 01:00:00",170
"2022-06-10 02:00:00",164.24
"2022-06-10 03:00:00",163.81
"2022-06-10 04:00:00",163.84
"2022-06-10 05:00:00",179.14
"2022-06-10 06:00:00",207.91
"2022-06-10 07:00:00",213.76
"2022-06-10 08:00:00",212.84
"2022-06-10 09:00:00",194.94
"2022-06-10 10:00:00",175.16
"2022-06-10 11:00:00",164.17
"2022-06-10 12:00:00",157.77
"2022-06-10 13:00:00",159.07
"2022-06-10 14:00:00",151.61
"2022-06-10 15:00:00",155.83
"2022-06-10 16:00:00",162.8
"2022-06-10 17:00:00",185.78
"2022-06-10 18:00:00",202.44
"2022-06-10 19:00:00",218.51
"2022-06-10 20:00:00",220.46
"2022-06-10 21:00:00",216.9
"2022-06-10 22:00:00",215.48
"2022-06-10 23:00:00",205.07
"2022-06-11 00:00:00",202.71
"2022-06-11 01:00:00",186.01
"2022-06-11 02:00:00",173.39
"2022-06-11 03:00:00",165.68
"2022-06-11 04:00:00",158.56
"2022-06-11 05:00:00",155.46
"2022-06-11 06:00:00",157.84
"2022-06-11 07:00:00",151.42
"2022-06-11 08:00:00",149
"2022-06-11 09:00:00",111.05
"2022-06-11 10:00:00",80.29
"2022-06-11 11:00:00",72.28
"2022-06-11 12:00:00",62.62
"2022-06-11 13:00:00",48.15
"2022-06-11 14:00:00",4.23
"2022-06-11 15:00:00",37.53
"2022-06-11 16:00:00",61.49
"2022-06-11 17:00:00",76.05
"2022-06-11 18:00:00",155.36
"2022-06-11 19:00:00",196.39
"2022-06-11 20:00:00",209.33
"2022-06-11 21:00:00",211.06
"2022-06-11 22:00:00",207.92
"2022-06-11 23:00:00",199
"2022-06-12 00:00:00",195
"2022-06-12 01:00:00",164.45
"2022-06-12 02:00:00",154.18
"2022-06-12 03:00:00",145.76
"2022-06-12 04:00:00",145.28
"2022-06-12 05:00:00",131.89
"2022-06-12 06:00:00",120.32
"2022-06-12 07:00:00",117.01
"2022-06-12 08:00:00",103.03
"2022-06-12 09:00:00",80.83
"2022-06-12 10:00:00",74.37
"2022-06-12 11:00:00",48.89
"2022-06-12 12:00:00",19.91
"2022-06-12 13:00:00",4.82
"2022-06-12 14:00:00",0.08
"2022-06-12 15:00:00",9.95
"2022-06-12 16:00:00",44.79
"2022-06-12 17:00:00",85.33
"2022-06-12 18:00:00",159.95
"2022-06-12 19:00:00",185.31
"2022-06-12 20:00:00",205.98
"2022-06-12 21:00:00",210.98
"2022-06-12 22:00:00",210
"2022-06-12 23:00:00",188.83
"2022-06-13 00:00:00",173.97
"2022-06-13 01:00:00",162.67
"2022-06-13 02:00:00",155.11
"2022-06-13 03:00:00",149.92
"2022-06-13 04:00:00",146.92
"2022-06-13 05:00:00",158.47
"2022-06-13 06:00:00",200.03
"2022-06-13 07:00:00",211.19
"2022-06-13 08:00:00",212.12
"2022-06-13 09:00:00",179.22
"2022-06-13 10:00:00",165.7
"2022-06-13 11:00:00",147.17
"2022-06-13 12:00:00",139.6
"2022-06-13 13:00:00",106.06
"2022-06-13 14:00:00",87.59
"2022-06-13 15:00:00",85.23
"2022-06-13 16:00:00",106.26
"2022-06-13 17:00:00",142.92
"2022-06-13 18:00:00",160.35
"2022-06-13 19:00:00",207.46
"2022-06-13 20:00:00",224.9
"2022-06-13 21:00:00",225.97
"2022-06-13 22:00:00",223.47
"2022-06-13 23:00:00",201.24
"2022-06-14 00:00:00",174.44
"2022-06-14 01:00:00",162.72
"2022-06-14 02:00:00",161.69
"2022-06-14 03:00:00",157.58
"2022-06-14 04:00:00",162.9
"2022-06-14 05:00:00",171
"2022-06-14 06:00:00",215.22
"2022-06-14 07:00:00",227.88
"2022-06-14 08:00:00",211.95
"2022-06-14 09:00:00",181.57
"2022-06-14 10:00:00",164.04
"2022-06-14 11:00:00",164.09
"2022-06-14 12:00:00",162.84
"2022-06-14 13:00:00",157.51
"2022-06-14 14:00:00",151.74
"2022-06-14 15:00:00",163.95
"2022-06-14 16:00:00",173.97
"2022-06-14 17:00:00",202.74
"2022-06-14 18:00:00",230.97
"2022-06-14 19:00:00",288.9
"2022-06-14 20:00:00",295.68
"2022-06-14 21:00:00",248.15
"2022-06-14 22:00:00",234.9
"2022-06-14 23:00:00",213.11
"2022-06-15 00:00:00",197.96
"2022-06-15 01:00:00",183.5
"2022-06-15 02:00:00",177.67
"2022-06-15 03:00:00",173.02
"2022-06-15 04:00:00",173.18
"2022-06-15 05:00:00",182.23
"2022-06-15 06:00:00",219.61
"2022-06-15 07:00:00",246.95
"2022-06-15 08:00:00",252.78
"2022-06-15 09:00:00",213.58
"2022-06-15 10:00:00",195.78
"2022-06-15 11:00:00",175.37
"2022-06-15 12:00:00",170.76
"2022-06-15 13:00:00",172.2
"2022-06-15 14:00:00",168.61
"2022-06-15 15:00:00",170.24
"2022-06-15 16:00:00",183.06
"2022-06-15 17:00:00",220.76
"2022-06-15 18:00:00",259.1
"2022-06-15 19:00:00",305.77
"2022-06-15 20:00:00",307.48
"2022-06-15 21:00:00",263.97
"2022-06-15 22:00:00",247.69
"2022-06-15 23:00:00",222.64
"2022-06-16 00:00:00",232.64
"2022-06-16 01:00:00",221.54
"2022-06-16 02:00:00",213.34
"2022-06-16 03:00:00",213.63
"2022-06-16 04:00:00",206.46
"2022-06-16 05:00:00",207.09
"2022-06-16 06:00:00",227.35
"2022-06-16 07:00:00",254.96
"2022-06-16 08:00:00",245
"2022-06-16 09:00:00",221.81
"2022-06-16 10:00:00",185.73
"2022-06-16 11:00:00",163.48
"2022-06-16 12:00:00",152.96
"2022-06-16 13:00:00",116.89
"2022-06-16 14:00:00",100
"2022-06-16 15:00:00",98.56
"2022-06-16 16:00:00",116.63
"2022-06-16 17:00:00",165.21
"2022-06-16 18:00:00",222.7
"2022-06-16 19:00:00",258.56
"2022-06-16 20:00:00",265.18
"2022-06-16 21:00:00",270.47
"2022-06-16 22:00:00",262.25
"2022-06-16 23:00:00",224.9
"2022-06-17 00:00:00",296.21
"2022-06-17 01:00:00",250.7
"2022-06-17 02:00:00",225.09
"2022-06-17 03:00:00",211.4
"2022-06-17 04:00:00",206.86
"2022-06-17 05:00:00",239.91
"2022-06-17 06:00:00",292.34
"2022-06-17 07:00:00",323.31
"2022-06-17 08:00:00",325.7
"2022-06-17 09:00:00",299.07
"2022-06-17 10:00:00",250.43
"2022-06-17 11:00:00",194.9
"2022-06-17 12:00:00",186.55
"2022-06-17 13:00:00",180.67
"2022-06-17 14:00:00",174.12
"2022-06-17 15:00:00",180.47
"2022-06-17 16:00:00",188.34
"2022-06-17 17:00:00",254.46
"2022-06-17 18:00:00",303.99
"2022-06-17 19:00:00",327.56
"2022-06-17 20:00:00",355.39
"2022-06-17 21:00:00",319.06
"2022-06-17 22:00:00",284.03
"2022-06-17 23:00:00",259.79
"2022-06-18 00:00:00",255.05
"2022-06-18 01:00:00",207.86
"2022-06-18 02:00:00",184.37
"2022-06-18 03:00:00",180.64
"2022-06-18 04:00:00",172.22
"2022-06-18 05:00:00",178.99
"2022-06-18 06:00:00",189.93
"2022-06-18 07:00:00",190.15
"2022-06-18 08:00:00",188.16
"2022-06-18 09:00:00",185.06
"2022-06-18 10:00:00",157.44
"2022-06-18 11:00:00",142.26
"2022-06-18 12:00:00",106.52
"2022-06-18 13:00:00",77.28
"2022-06-18 14:00:00",76.66
"2022-06-18 15:00:00",78.29
"2022-06-18 16:00:00",149.4
"2022-06-18 17:00:00",189.94
"2022-06-18 18:00:00",264.61
"2022-06-18 19:00:00",328.01
"2022-06-18 20:00:00",330.47
"2022-06-18 21:00:00",319.21
"2022-06-18 22:00:00",285.08
"2022-06-18 23:00:00",251.88
"2022-06-19 00:00:00",207.07
"2022-06-19 01:00:00",190
"2022-06-19 02:00:00",165.52
"2022-06-19 03:00:00",139.8
"2022-06-19 04:00:00",120.6
"2022-06-19 05:00:00",110.96
"2022-06-19 06:00:00",112.55
"2022-06-19 07:00:00",98.57
"2022-06-19 08:00:00",90.53
"2022-06-19 09:00:00",94.28
"2022-06-19 10:00:00",94.15
"2022-06-19 11:00:00",95.2
"2022-06-19 12:00:00",82.55
"2022-06-19 13:00:00",75
"2022-06-19 14:00:00",60.09
"2022-06-19 15:00:00",80.72
"2022-06-19 16:00:00",93.38
"2022-06-19 17:00:00",157.35
"2022-06-19 18:00:00",219.62
"2022-06-19 19:00:00",258.7
"2022-06-19 20:00:00",282.69
"2022-06-19 21:00:00",294.29
"2022-06-19 22:00:00",306.93
"2022-06-19 23:00:00",281.1
"2022-06-20 00:00:00",240.22
"2022-06-20 01:00:00",220.39
"2022-06-20 02:00:00",218.9
"2022-06-20 03:00:00",220.1
"2022-06-20 04:00:00",213.2
"2022-06-20 05:00:00",263.27
"2022-06-20 06:00:00",301.67
"2022-06-20 07:00:00",370.14
"2022-06-20 08:00:00",500
"2022-06-20 09:00:00",348.28
"2022-06-20 10:00:00",310.28
"2022-06-20 11:00:00",305.97
"2022-06-20 12:00:00",263.54
"2022-06-20 13:00:00",213.87
"2022-06-20 14:00:00",193.09
"2022-06-20 15:00:00",183.58
"2022-06-20 16:00:00",180.44
"2022-06-20 17:00:00",198.2
"2022-06-20 18:00:00",209.23
"2022-06-20 19:00:00",291.19
"2022-06-20 20:00:00",316.32
"2022-06-20 21:00:00",316.32
"2022-06-20 22:00:00",288.71
"2022-06-20 23:00:00",250.01
"2022-06-21 00:00:00",264.91
"2022-06-21 01:00:00",242.42
"2022-06-21 02:00:00",232.91
"2022-06-21 03:00:00",219.95
"2022-06-21 04:00:00",217.17
"2022-06-21 05:00:00",228.91
"2022-06-21 06:00:00",297.61
"2022-06-21 07:00:00",338.9
"2022-06-21 08:00:00",332.02
"2022-06-21 09:00:00",279.45
"2022-06-21 10:00:00",237.03
"2022-06-21 11:00:00",225.21
"2022-06-21 12:00:00",219.86
"2022-06-21 13:00:00",212.61
"2022-06-21 14:00:00",210.81
"2022-06-21 15:00:00",230.74
"2022-06-21 16:00:00",239.93
"2022-06-21 17:00:00",304.48
"2022-06-21 18:00:00",373.93
"2022-06-21 19:00:00",450.25
"2022-06-21 20:00:00",458.04
"2022-06-21 21:00:00",410.35
"2022-06-21 22:00:00",373.25
"2022-06-21 23:00:00",325.51
"2022-06-22 00:00:00",272.45
"2022-06-22 01:00:00",268.49
"2022-06-22 02:00:00",268.9
"2022-06-22 03:00:00",248.5
"2022-06-22 04:00:00",255.02
"2022-06-22 05:00:00",284.29
"2022-06-22 06:00:00",348.49
"2022-06-22 07:00:00",429.95
"2022-06-22 08:00:00",387.88
"2022-06-22 09:00:00",339.79
"2022-06-22 10:00:00",301.49
"2022-06-22 11:00:00",292.44
"2022-06-22 12:00:00",268.9
"2022-06-22 13:00:00",249.7
"2022-06-22 14:00:00",244.46
"2022-06-22 15:00:00",258.12
"2022-06-22 16:00:00",284.1
"2022-06-22 17:00:00",331.47
"2022-06-22 18:00:00",398.36
"2022-06-22 19:00:00",491.04
"2022-06-22 20:00:00",462.91
"2022-06-22 21:00:00",399.3
"2022-06-22 22:00:00",374.55
"2022-06-22 23:00:00",299.58
"2022-06-23 00:00:00",288.59
"2022-06-23 01:00:00",257.91
"2022-06-23 02:00:00",250.11
"2022-06-23 03:00:00",245.82
"2022-06-23 04:00:00",255.08
"2022-06-23 05:00:00",279.68
"2022-06-23 06:00:00",336.1
"2022-06-23 07:00:00",363.35
"2022-06-23 08:00:00",350.39
"2022-06-23 09:00:00",316.23
"2022-06-23 10:00:00",277.83
"2022-06-23 11:00:00",246.34
"2022-06-23 12:00:00",240.7
"2022-06-23 13:00:00",227.92
"2022-06-23 14:00:00",228
"2022-06-23 15:00:00",248.7
"2022-06-23 16:00:00",263.06
"2022-06-23 17:00:00",333.96
"2022-06-23 18:00:00",367.43
"2022-06-23 19:00:00",429.06
"2022-06-23 20:00:00",413.99
"2022-06-23 21:00:00",358.95
"2022-06-23 22:00:00",292.36
"2022-06-23 23:00:00",210.37
"2022-06-24 00:00:00",224.84
"2022-06-24 01:00:00",211.69
"2022-06-24 02:00:00",204.21
"2022-06-24 03:00:00",218.93
"2022-06-24 04:00:00",223.23
"2022-06-24 05:00:00",231.6
"2022-06-24 06:00:00",302.85
"2022-06-24 07:00:00",335.17
"2022-06-24 08:00:00",345.74
"2022-06-24 09:00:00",329.98
"2022-06-24 10:00:00",304.03
"2022-06-24 11:00:00",263.8
"2022-06-24 12:00:00",244.01
"2022-06-24 13:00:00",240.72
"2022-06-24 14:00:00",214.81
"2022-06-24 15:00:00",243.18
"2022-06-24 16:00:00",245.47
"2022-06-24 17:00:00",296.41
"2022-06-24 18:00:00",322
"2022-06-24 19:00:00",329.94
"2022-06-24 20:00:00",335.2
"2022-06-24 21:00:00",330.92
"2022-06-24 22:00:00",320
"2022-06-24 23:00:00",264.47
"2022-06-25 00:00:00",260.65
"2022-06-25 01:00:00",236.9
"2022-06-25 02:00:00",214.91
"2022-06-25 03:00:00",217.08
"2022-06-25 04:00:00",203.74
"2022-06-25 05:00:00",209.06
"2022-06-25 06:00:00",226.73
"2022-06-25 07:00:00",261.09
"2022-06-25 08:00:00",269.03
"2022-06-25 09:00:00",228.26
"2022-06-25 10:00:00",185.73
"2022-06-25 11:00:00",184.96
"2022-06-25 12:00:00",197.65
"2022-06-25 13:00:00",180.43
"2022-06-25 14:00:00",164.06
"2022-06-25 15:00:00",184.94
"2022-06-25 16:00:00",220.66
"2022-06-25 17:00:00",269.07
"2022-06-25 18:00:00",271.57
"2022-06-25 19:00:00",314.1
"2022-06-25 20:00:00",327.17
"2022-06-25 21:00:00",322.68
"2022-06-25 22:00:00",324.02
"2022-06-25 23:00:00",294.94
"2022-06-26 00:00:00",288.91
"2022-06-26 01:00:00",261.33
"2022-06-26 02:00:00",217.9
"2022-06-26 03:00:00",206.62
"2022-06-26 04:00:00",196.78
"2022-06-26 05:00:00",180.25
"2022-06-26 06:00:00",174.44
"2022-06-26 07:00:00",167.67
"2022-06-26 08:00:00",155.09
"2022-06-26 09:00:00",112.14
"2022-06-26 10:00:00",101.36
"2022-06-26 11:00:00",95
"2022-06-26 12:00:00",83.02
"2022-06-26 13:00:00",79.82
"2022-06-26 14:00:00",79.82
"2022-06-26 15:00:00",112.45
"2022-06-26 16:00:00",176.23
"2022-06-26 17:00:00",218.31
"2022-06-26 18:00:00",289.02
"2022-06-26 19:00:00",324.79
"2022-06-26 20:00:00",333.38
"2022-06-26 21:00:00",334.19
"2022-06-26 22:00:00",335.71
"2022-06-26 23:00:00",315.87
"2022-06-27 00:00:00",295.62
"2022-06-27 01:00:00",263.7
"2022-06-27 02:00:00",258.07
"2022-06-27 03:00:00",256.14
"2022-06-27 04:00:00",254.55
"2022-06-27 05:00:00",268.87
"2022-06-27 06:00:00",330.91
"2022-06-27 07:00:00",357.94
"2022-06-27 08:00:00",371.07
"2022-06-27 09:00:00",348.38
"2022-06-27 10:00:00",332.54
"2022-06-27 11:00:00",293.5
"2022-06-27 12:00:00",268
"2022-06-27 13:00:00",250.91
"2022-06-27 14:00:00",251.87
"2022-06-27 15:00:00",259.91
"2022-06-27 16:00:00",288.57
"2022-06-27 17:00:00",340.91
"2022-06-27 18:00:00",378.59
"2022-06-27 19:00:00",443.5
"2022-06-27 20:00:00",390.37
"2022-06-27 21:00:00",375.64
"2022-06-27 22:00:00",372.17
"2022-06-27 23:00:00",347.81
"2022-06-28 00:00:00",266.05
"2022-06-28 01:00:00",272.47
"2022-06-28 02:00:00",254.91
"2022-06-28 03:00:00",256.31
"2022-06-28 04:00:00",267.66
"2022-06-28 05:00:00",282.41
"2022-06-28 06:00:00",359.1
"2022-06-28 07:00:00",381.88
"2022-06-28 08:00:00",400.93
"2022-06-28 09:00:00",372.62
"2022-06-28 10:00:00",313.99
"2022-06-28 11:00:00",270.09
"2022-06-28 12:00:00",250.41
"2022-06-28 13:00:00",259.7
"2022-06-28 14:00:00",252.43
"2022-06-28 15:00:00",299
"2022-06-28 16:00:00",324.02
"2022-06-28 17:00:00",368.83
"2022-06-28 18:00:00",434.99
"2022-06-28 19:00:00",470.9
"2022-06-28 20:00:00",453.14
"2022-06-28 21:00:00",410.92
"2022-06-28 22:00:00",396.38
"2022-06-28 23:00:00",337.23
"2022-06-29 00:00:00",275.06
"2022-06-29 01:00:00",261.27
"2022-06-29 02:00:00",246.47
"2022-06-29 03:00:00",238
"2022-06-29 04:00:00",243.27
"2022-06-29 05:00:00",254.02
"2022-06-29 06:00:00",315.46
"2022-06-29 07:00:00",350.85
"2022-06-29 08:00:00",386.95
"2022-06-29 09:00:00",365.41
"2022-06-29 10:00:00",329.64
"2022-06-29 11:00:00",320.93
"2022-06-29 12:00:00",303.91
"2022-06-29 13:00:00",291.4
"2022-06-29 14:00:00",294.55
"2022-06-29 15:00:00",300.85
"2022-06-29 16:00:00",308.91
"2022-06-29 17:00:00",341.07
